City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
214,motueka,-41.1333,173.0167,8.39,77,17,1.16,NZ,1684874575
215,farafangana,-22.8167,47.8333,20.43,81,99,4.19,MG,1684874575
216,hami,42.8,93.45,16.71,23,0,4.73,CN,1684874010
217,omurtag,43.1,26.4167,10.98,89,4,1.0,BG,1684874575
218,vernon,50.2581,-119.2691,17.56,77,100,1.54,CA,1684873736
219,vera,-29.4593,-60.2126,24.58,71,29,5.16,AR,1684874575
220,buzen,33.6115,131.13,16.9,77,9,0.91,JP,1684874575
221,port macquarie,-31.4333,152.9167,4.94,75,12,2.09,AU,1684874575
222,el alto,-4.2714,-81.2147,18.81,73,98,4.64,PE,1684874575
223,aykhal,66.0,111.5,-1.78,96,90,3.87,RU,1684874576
224,bubaque,11.2833,-15.8333,27.57,71,91,6.5,GW,1684874576
225,boujniba,32.9005,-6.7746,13.54,71,5,6.57,MA,1684874576
226,isangel,-19.55,169.2667,21.06,73,100,1.03,VU,1684874164
227,nova sintra,14.8667,-24.7167,20.26,80,71,5.97,CV,1684874576
228,nuku'alofa,-21.1333,-175.2,24.19,88,75,4.12,TO,1684874007
229,fale old settlement,-9.3852,-171.2468,28.07,73,46,3.66,TK,1684874576
230,villamontes,-21.25,-63.5,29.08,55,8,4.23,BO,1684874576
231,bikenibeu village,1.3673,173.1241,28.98,79,75,2.06,KI,1684874004
232,westport,41.1415,-73.3579,21.47,64,0,5.14,US,1684874572
233,plovdiv,42.15,24.75,15.04,88,40,2.57,BG,1684874576
234,saint-joseph,-21.3667,55.6167,23.59,77,38,0.77,RE,1684874158
235,hibbing,47.4272,-92.9377,27.78,26,20,3.09,US,1684874576
236,tralee,52.2704,-9.7026,9.65,93,100,1.8,IE,1684874577
237,pisco,-13.7,-76.2167,26.03,57,0,3.6,PE,1684874162
238,aioun,16.6614,-9.6149,34.64,22,94,4.61,MR,1684874577
239,camana,-16.6228,-72.7111,20.56,78,73,4.16,PE,1684874577
240,serhiyivka,46.0272,30.3768,16.98,79,49,3.02,UA,1684874577
241,baruun-urt,46.6806,113.2792,13.32,27,100,1.81,MN,1684874577
242,manokwari,-0.8667,134.0833,26.38,76,76,2.2,ID,1684874577
243,guaruja,-23.9931,-46.2564,23.92,26,75,1.34,BR,1684874577
244,hamilton,39.1834,-84.5333,28.84,46,20,3.09,US,1684874433
245,domerat,46.3606,2.5343,14.04,93,68,3.6,FR,1684874421
246,gwalior,26.2236,78.1792,31.79,30,70,0.95,IN,1684874577
247,lewistown,40.5992,-77.5714,25.34,100,85,2.99,US,1684874577
248,zuunmod,47.7069,106.9528,9.57,64,100,5.26,MN,1684874578
249,carbonear,47.7332,-53.2148,4.57,87,95,7.68,CA,1684874578
250,isafjordur,66.0755,-23.124,3.16,95,100,17.3,IS,1684874578
251,askoy,60.4092,5.226,10.01,84,20,2.06,NO,1684874578
252,ghadamis,30.1337,9.5007,26.82,14,1,3.67,LY,1684874578
253,mazagao,-0.115,-51.2894,30.03,81,100,2.02,BR,1684874169
254,polyarnyy,69.1989,33.4478,13.46,66,27,4.47,RU,1684874578
255,ust'-ilimsk,58.0006,102.6619,4.42,96,100,2.7,RU,1684874578
256,hotan,37.0997,79.9269,21.95,20,26,2.86,CN,1684874578
257,kil bhuvanagiri,11.4667,79.6333,28.8,75,0,5.89,IN,1684874578
258,ancud,-41.8697,-73.8203,10.79,72,54,11.53,CL,1684874579
259,chudniv,50.052,28.1175,12.1,71,6,1.74,UA,1684874579
260,talnakh,69.4865,88.3972,-3.62,94,63,4.69,RU,1684874579
261,kristiansund,63.1115,7.732,10.03,76,0,1.54,NO,1684874154
262,mogadishu,2.0371,45.3438,26.94,85,77,5.91,SO,1684873912
263,nikki,9.9401,3.2108,27.71,66,100,0.97,BJ,1684874579
264,port augusta,-32.5,137.7667,10.53,64,16,3.48,AU,1684874007
265,kalmunai,7.4167,81.8167,26.16,84,5,4.81,LK,1684874579
266,aljezur,37.3191,-8.8033,16.66,87,83,2.52,PT,1684874579
267,east london,-33.0153,27.9116,16.28,60,0,2.9,ZA,1684874579
268,saipan,15.1355,145.701,27.39,100,75,11.83,MP,1684874579
269,maridi,4.9158,29.4742,20.42,82,50,2.13,SS,1684874139
270,mamfe,5.754,9.3123,24.91,94,85,0.59,CM,1684874579
271,sehore,23.2,77.0833,31.59,22,8,5.54,IN,1684874580
272,hirara,24.8,125.2833,20.92,88,100,2.06,JP,1684874124
273,prokuplje,43.2342,21.5881,16.6,84,40,1.12,RS,1684874580
274,karratha,-20.7377,116.8463,18.41,49,76,2.66,AU,1684874295
275,matoury,4.8483,-52.3317,28.98,74,75,2.57,GF,1684874145
276,llandudno,53.325,-3.8315,13.78,42,84,0.89,GB,1684874580
277,pundong,-7.9522,110.3486,24.05,88,52,1.46,ID,1684874580
278,belel,7.05,14.4333,17.25,78,80,0.91,CM,1684874580
279,island harbour,50.724,-1.2758,14.07,80,97,0.45,GB,1684874580
280,mount pearl,47.5166,-52.7813,3.86,94,100,8.23,CA,1684874348
281,umm kaddadah,13.6017,26.6876,31.02,8,0,4.38,SD,1684874580
282,klaksvik,62.2266,-6.589,9.51,79,51,13.78,FO,1684874581
283,mount isa,-20.7333,139.5,15.87,39,0,3.6,AU,1684874581
284,castillos,-34.1667,-53.8333,20.42,75,92,2.62,UY,1684874581
285,pacific grove,36.6177,-121.9166,16.9,77,100,6.17,US,1684874449
286,tercan,39.7794,40.3925,11.49,66,3,2.17,TR,1684874581
287,necochea,-38.5473,-58.7368,17.2,87,99,3.56,AR,1684874581
288,kangding,30.0513,101.9603,10.34,42,8,3.09,CN,1684874355
289,winnemucca,40.973,-117.7357,24.03,25,0,2.57,US,1684874581
290,kani keli,-12.9536,45.1033,25.59,62,19,5.12,YT,1684874581
291,swakopmund,-22.6833,14.5333,12.77,91,0,1.04,NA,1684874165
292,monrovia,6.3005,-10.7969,26.87,78,99,2.6,LR,1684874465
293,luau,-10.7073,22.2247,19.59,53,51,1.26,AO,1684874582
294,volokonovka,50.4827,37.8563,13.05,97,8,1.59,RU,1684874582
295,kralendijk,12.15,-68.2667,29.99,70,40,6.69,BQ,1684874582
296,hithadhoo,-0.6,73.0833,27.86,73,13,3.0,MV,1684874582
297,dwarka,22.2394,68.9678,28.17,81,2,7.56,IN,1684874158
298,okhotsk,59.3833,143.3,4.01,70,0,2.0,RU,1684874011
299,ulladulla,-35.35,150.4667,8.13,70,100,2.35,AU,1684873933
300,severo-yeniseyskiy,60.3725,93.0408,-0.79,87,99,5.38,RU,1684874161
301,port hueneme,34.1478,-119.1951,19.97,88,100,3.09,US,1684874413
302,villa union,23.2,-106.2333,31.98,51,20,3.6,MX,1684874582
303,trinidad,-14.8333,-64.9,30.99,66,40,1.54,BO,1684874583
304,balkanabat,39.5108,54.3671,30.85,26,0,2.72,TM,1684874583
305,idri,27.5,13.2667,27.45,9,37,1.32,LY,1684874583
306,kem',64.9555,34.5793,14.45,64,100,2.31,RU,1684874583
307,guiuan,11.0333,125.7247,28.59,73,100,1.07,PH,1684874583
308,kapuskasing,49.4169,-82.4331,11.0,87,100,5.14,CA,1684874388
309,praia,14.9215,-23.5087,23.3,73,75,8.23,CV,1684874583
310,pingliang,35.5392,106.6861,8.6,89,0,1.33,CN,1684874356
311,kombissiri,12.0656,-1.3375,34.99,37,97,2.06,BF,1684874584
312,baker city,44.7749,-117.8344,16.84,38,0,2.57,US,1684874410
313,mil'kovo,55.6078,37.7956,16.22,95,100,2.77,RU,1684874584
314,oranjemund,-28.55,16.4333,12.34,77,77,1.78,NA,1684874143
315,nabire,-3.3667,135.4833,24.29,92,72,1.56,ID,1684874584
316,acarau,-2.8856,-40.12,26.05,87,86,5.91,BR,1684874584
317,sefaatli,39.5043,34.7563,11.86,88,99,1.87,TR,1684874584
318,as sulayyil,20.4607,45.5779,27.14,31,97,7.17,SA,1684874584
319,puerto ayora,-0.7393,-90.3518,28.98,86,84,2.24,EC,1684874585
320,ivdel',60.6911,60.4206,13.07,77,75,0.67,RU,1684874585
321,fort bragg,35.139,-79.006,26.08,47,75,6.17,US,1684874585
322,wangqing,43.3218,129.7634,10.78,75,0,0.64,CN,1684874585
323,qui nhon,13.7667,109.2333,26.55,81,59,1.89,VN,1684874139
324,crozon,48.2464,-4.4899,13.07,62,0,4.63,FR,1684874585
325,sitka,57.0531,-135.33,11.94,58,40,0.0,US,1684874585
326,walvis bay,-22.9575,14.5053,12.83,94,0,1.03,NA,1684873999
327,bodden town,19.2833,-81.25,31.07,70,40,1.03,KY,1684874305
328,barcelos,41.5388,-8.6151,22.18,60,68,2.38,PT,1684874585
329,kokkola,63.8385,23.1307,10.58,82,0,2.06,FI,1684874585
330,portadown,54.4241,-6.4412,13.9,92,32,2.78,GB,1684874586
